time_s,ue_x_m,SINR_dB,throughput_Mbps,serving_idx
0,-1200,26.9465607704814,89.5436498309211,1
0.01,-1199.32944,30.2405233464139,100.470487327134,1
0.02,-1198.65888,41.6205643280248,138.261515318296,1
0.03,-1197.98832,47.2309243794281,156.898007590314,1
0.04,-1197.31776,34.0199946035462,113.017691819608,1
0.05,-1196.6472,35.8473472006066,119.086062834049,1
0.06,-1195.97664,38.4850342431794,127.846561235689,1
0.07,-1195.30608,40.1519694719098,133.383348471464,1
0.08,-1194.63552,34.4485737725784,114.440863964005,1
0.09,-1193.96496,16.993724313825,56.7373597516044,1
0.1,-1193.2944,30.19968367151,100.334949703802,1
0.11,-1192.62384,37.8015566865823,125.576446408873,1
0.12,-1191.95328,43.6922397153577,145.143095150651,1
0.13,-1191.28272,35.5591749234012,118.129032692076,1
0.14,-1190.61216,31.5330498430117,104.760656700873,1
0.15,-1189.9416,34.6530977779496,115.120039805173,1
0.16,-1189.27104,27.6154867928304,91.7616217491649,1
0.17,-1188.60048,24.9222358912178,82.836247271175,1
0.18,-1187.92992,36.5003602289427,121.254801280616,1
0.19,-1187.25936,36.1255667544209,120.010055325299,1
0.2,-1186.5888,37.2253157315266,123.662554931755,1
0.21,-1185.91824,42.4928208359734,141.158907972409,1
0.22,-1185.24768,39.6390588983651,131.679671044743,1
0.23,-1184.57712,46.8283777557288,155.560803160228,1
0.24,-1183.90656,37.0372406031745,123.037903811599,1
0.25,-1183.236,30.3669680564062,100.890136246389,1
0.26,-1182.56544,28.7689894691362,95.5876563848775,1
0.27,-1181.89488,34.614682816279,114.992471953527,1
0.28,-1181.22432,35.9354499739052,119.378658552833,1
0.29,-1180.55376,23.4010296278248,77.8023158421889,1
0.3,-1179.8832,39.7276739830558,131.974012323396,1
0.31,-1179.21264,31.9042137049313,105.992806640045,1
0.32,-1178.54208,36.0850350265151,119.875444842402,1
0.33,-1177.87152,39.1906623243162,130.190300361947,1
0.34,-1177.20096,35.8599969363594,119.128073432441,1
0.35,-1176.5304,31.7973761872133,105.638131700823,1
0.36,-1175.85984,33.5761820160235,111.543993193818,1
0.37,-1175.18928,41.0196938278503,136.26561411387,1
0.38,-1174.51872,29.6003113286812,98.3459148578407,1
0.39,-1173.84816,36.8876700573383,122.541141195911,1
0.4,-1173.1776,22.1304805410664,73.6039294483297,1
0.41,-1172.50704,36.8750610992583,122.499263730867,1
0.42,-1171.83648,29.8814257451647,99.2787663570828,1
0.43,-1171.16592,35.3962152615428,117.587845734592,1
0.44,-1170.49536,19.5814584795725,65.20619391313,1
0.45,-1169.8248,15.9827502081964,53.4528658039407,1
0.46,-1169.15424,21.8115791349099,72.5512498047049,1
0.47,-1168.48368,32.1308007607801,106.745039775695,1
0.48,-1167.81312,32.4538202127581,107.81745441912,1
0.49,-1167.14256,35.6325679521869,118.37277186038,1
0.5,-1166.472,25.9858412694396,86.3594076459259,1
0.51,-1165.80144,40.7749327645984,135.452601595102,1
0.52,-1165.13088,43.0903694333546,143.143816992471,1
0.53,-1164.46032,35.2437510628479,117.081519378637,1
0.54,-1163.78976,23.3432005664742,77.6110915588292,1
0.55,-1163.1192,45.5186597715508,151.210119594494,1
0.56,-1162.44864,38.0929305436558,126.544214126271,1
0.57,-1161.77808,42.5748017359025,141.431227432012,1
0.58,-1161.10752,31.2127080782817,103.697279742408,1
0.59,-1160.43696,44.7345113820225,148.605315142369,1
0.6,-1159.7664,38.4073587789708,127.588565826451,1
0.61,-1159.09584,34.8845799019629,115.888750369124,1
0.62,-1158.42528,21.1562288461558,70.3895977875506,1
0.63,-1157.75472,35.8676000123823,119.153323759627,1
0.64,-1157.08416,35.7589703146992,118.792558318569,1
0.65,-1156.4136,27.7095180207308,92.0734525596998,1
0.66,-1155.74304,32.1648754788854,106.85816455086,1
0.67,-1155.07248,23.1350945049993,76.9230421555056,1
0.68,-1154.40192,34.0713092103786,113.18808812668,1
0.69,-1153.73136,34.5916567833655,114.916007621567,1
0.7,-1153.0608,34.5335324788103,114.722990366886,1
0.71,-1152.39024,32.2819276586702,107.246770568481,1
0.72,-1151.71968,36.6246652200532,121.667642417019,1
0.73,-1151.04912,42.1878453783774,140.145860544935,1
0.74,-1150.37856,41.3096922863282,137.228894458111,1
0.75,-1149.708,33.3283200048888,110.720985154149,1
0.76,-1149.03744,42.598197488505,141.50894215584,1
0.77,-1148.36688,30.3065494440295,100.689615521558,1
0.78,-1147.69632,37.0596562386013,123.112352251045,1
0.79,-1147.02576,33.6097674100838,111.655512698964,1
0.8,-1146.3552,30.2137257073312,100.381551900988,1
0.81,-1145.68464,25.9392512669011,86.2050301468454,1
0.82,-1145.01408,31.9897915649568,106.276908677482,1
0.83,-1144.34352,25.2339328044566,83.8684752932153,1
0.84,-1143.67296,30.081302981196,99.9420779403288,1
0.85,-1143.0024,32.0651069072831,106.526944059485,1
0.86,-1142.33184,14.9409061239747,50.08782842048,1
0.87,-1141.66128,15.4802129942546,51.8269425039687,1
0.88,-1140.99072,23.8266900401246,79.2102006351853,1
0.89,-1140.32016,34.4806195163302,114.547279553677,1
0.9,-1139.6496,36.9466900121871,122.7371613776,1
0.91,-1138.97904,24.3557270808442,80.9607950532621,1
0.92,-1138.30848,39.3048401106809,130.569545660252,1
0.93,-1137.63792,27.3682426492951,90.9417553641509,1
0.94,-1136.96736,18.6790941085032,62.2448473173563,1
0.95,-1136.2968,12.0557684434284,40.9201819822591,1
0.96,-1135.62624,27.3482800703299,90.8755627263409,1
0.97,-1134.95568,18.7594923818764,62.508385279914,1
0.98,-1134.28512,36.1421918681562,120.065269309582,1
0.99,-1133.61456,27.2721852964889,90.6232500876488,1
1,-1132.944,11.7310685730742,39.9070765490612,1
1.01,-1132.27344,33.3371001678818,110.750138690457,1
